inst num_v num_e num_t custo tempo
steinb1 50 63 9 63 25.53
steinb2 50 63 13 92 24.11
steinb3 50 63 25 153 20.86
steinb4 50 100 9 150 30.61
steinb5 50 100 13 191 30.63
steinb6 50 100 25 342 26.46
steinb7 75 94 13 105 37.29
steinb8 75 94 19 121 35.71
steinb9 75 94 38 259 30.08
steinb10 75 150 13 285 46.07
steinb11 75 150 19 349 44.09
steinb12 75 150 38 514 38.50
steinb13 100 125 17 177 48.83
steinb14 100 125 25 209 46.84
steinb15 100 125 50 330 39.89
steinb16 100 200 17 346 60.61
steinb17 100 200 25 485 58.85
steinb18 100 200 50 712 51.68
steinc1 500 625 5 582 261.13
steinc2 500 625 10 733 260.25
steinc3 500 625 83 1350 245.57
steinc4 500 625 125 1500 236.57
steinc5 500 625 250 1962 199.64
steinc6 500 1000 5 1560 329.34
steinc7 500 1000 10 2027 329.13
steinc8 500 1000 83 2916 309.91
steinc9 500 1000 125 3046 298.68
steinc10 500 1000 250 3659 264.75
steinc11 500 2500 5 1902 586.62
steinc12 500 2500 10 2206 576.09
steinc13 500 2500 83 10253 552.32
steinc14 500 2500 125 10530 542.63
steinc15 500 2500 250 11390 522.99
steinc16 500 12500 5 1153 2294.56
steinc17 500 12500 10 2350 2333.81
steinc18 500 12500 83 47503 2523.42
steinc19 500 12500 125 57102 2420.65
steinc20 500 12500 250 65242 2279.97
steind1 1000 1250 5 1170 523.35
steind2 1000 1250 10 1580 518.62
steind3 1000 1250 167 3722 480.20
steind4 1000 1250 250 3728 462.03
steind5 1000 1250 500 4226 407.21
steind6 1000 2000 5 3193 664.92
steind7 1000 2000 10 4238 662.59
steind8 1000 2000 167 7035 622.87
steind9 1000 2000 250 7336 599.94
steind10 1000 2000 500 7773 531.10
steind11 1000 5000 5 6243 1200.38
steind12 1000 5000 10 15360 1193.10
steind13 1000 5000 167 22059 1129.44
steind14 1000 5000 250 22722 1100.72
steind15 1000 5000 500 23607 1042.57
steind16 1000 25000 5 1052 6064.71
steind17 1000 25000 10 9951 6350.31
steind18 1000 25000 167 128337 6247.14
steind19 1000 25000 250 130606 6934.38
steind20 1000 25000 500 132052 5927.95
steine1 2500 3125 5 3846 1343.04
steine2 2500 3125 10 5765 1347.55
steine3 2500 3125 417 12925 1242.42
steine4 2500 3125 625 12881 1190.82
steine5 2500 3125 1250 13575 1024.94
steine6 2500 5000 5 9536 1713.11
steine7 2500 5000 10 12641 1698.17
steine8 2500 5000 417 22407 1559.48
steine9 2500 5000 625 21642 1510.86
steine10 2500 5000 1250 22931 1351.31
steine11 2500 12500 5 34013 3159.07
steine12 2500 12500 10 43317 3228.16
steine13 2500 12500 417 61704 3118.50
steine14 2500 12500 625 62233 2947.40
steine15 2500 12500 1250 61632 2746.02
steine16 2500 62500 5 10493 28255.34
steine17 2500 62500 10 194766 30645.02
steine18 2500 62500 417 331537 27516.87
steine19 2500 62500 625 333334 30178.12
steine20 2500 62500 1250 333786 29806.88
teste1 6 9 3 30 4.47
