inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 4.82
steinb5 50 100 13 148 7.88
steinb9 75 94 38 257 22.42
steinb12 75 150 38 513 26.24
steinb13 100 125 17 133 13.63
steinb17 100 200 25 382 22.44
steinc3 500 625 83 680 239.24
steinc6 500 1000 5 83 30.17
steinc15 500 2500 250 10039 1272.69
steinc18 500 12500 83 20277 1792.06
steind2 1000 1250 10 61 70.29
steind9 1000 2000 250 4296 1609.27
steind11 1000 5000 5 297 122.64
steind20 1000 25000 500 103051 19110.57
steine5 2500 3125 1250 9481 17027.57
steine7 2500 5000 10 187 211.23
steine14 2500 12500 625 29860 15653.00
steine18 2500 62500 417 105308 46521.66
teste1 6 9 3 30 0.66
