inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 4.90
steinb5 50 100 13 148 7.95
steinb9 75 94 38 257 22.22
steinb12 75 150 38 513 26.70
steinb13 100 125 17 133 15.27
steinb17 100 200 25 382 23.34
steinc3 500 625 83 679 233.11
steinc6 500 1000 5 83 30.87
steinc15 500 2500 250 10030 1291.85
steinc18 500 12500 83 20277 1751.80
steind2 1000 1250 10 61 72.60
steind9 1000 2000 250 4267 1556.90
steind11 1000 5000 5 297 114.37
steind20 1000 25000 500 103051 18669.60
steine5 2500 3125 1250 9152 16432.31
steine7 2500 5000 10 187 228.89
steine14 2500 12500 625 29852 15831.22
steine18 2500 62500 417 105308 55193.28
teste1 6 9 3 30 0.66
