inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 5.00
steinb5 50 100 13 152 8.15
steinb9 75 94 38 257 21.89
steinb12 75 150 38 515 26.05
steinb13 100 125 17 134 14.64
steinb17 100 200 25 395 24.10
steinc3 500 625 83 805 264.17
steinc6 500 1000 5 92 40.03
steinc15 500 2500 250 10228 1318.18
steinc18 500 12500 83 20277 1876.11
steind2 1000 1250 10 77 65.43
steind9 1000 2000 250 5003 1734.23
steind11 1000 5000 5 297 151.04
steind20 1000 25000 500 103051 22199.91
steine5 2500 3125 1250 9861 17435.46
steine7 2500 5000 10 601 322.91
steine14 2500 12500 625 33781 16076.04
steine18 2500 62500 417 105308 48783.79
