inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 0.00
steinb2 50 63 13 99 0.00
steinb3 50 63 25 156 0.00
steinb4 50 100 9 145 0.00
steinb5 50 100 13 149 0.00
steinb6 50 100 25 341 0.00
steinb7 75 94 13 90 0.00
steinb8 75 94 19 125 0.00
steinb9 75 94 38 262 0.00
steinb10 75 150 13 212 0.00
steinb11 75 150 19 289 0.00
steinb12 75 150 38 529 0.00
steinb13 100 125 17 148 0.00
steinb14 100 125 25 184 0.00
steinb15 100 125 50 360 0.00
steinb16 100 200 17 310 0.00
steinb17 100 200 25 398 0.00
steinb18 100 200 50 722 0.00
steinc1 500 625 5 20 0.00
steinc2 500 625 10 121 0.01
steinc3 500 625 83 702 0.03
steinc4 500 625 125 987 0.05
steinc5 500 625 250 1841 0.07
steinc6 500 1000 5 83 0.00
steinc7 500 1000 10 191 0.00
steinc8 500 1000 83 1465 0.04
steinc9 500 1000 125 2212 0.06
steinc10 500 1000 250 3690 0.08
steinc11 500 2500 5 201 0.01
steinc12 500 2500 10 469 0.01
steinc13 500 2500 83 4306 0.05
steinc14 500 2500 125 6096 0.07
steinc15 500 2500 250 10099 0.13
steinc16 500 12500 5 1153 0.03
steinc17 500 12500 10 2361 0.04
steinc18 500 12500 83 20326 0.21
steinc19 500 12500 125 29142 0.30
steinc20 500 12500 250 51463 0.58
steind1 1000 1250 5 66 0.01
steind2 1000 1250 10 71 0.01
steind3 1000 1250 167 1404 0.11
steind4 1000 1250 250 1960 0.14
steind5 1000 1250 500 3643 0.26
steind6 1000 2000 5 46 0.01
steind7 1000 2000 10 166 0.01
steind8 1000 2000 167 3116 0.12
steind9 1000 2000 250 4331 0.17
steind10 1000 2000 500 7268 0.31
steind11 1000 5000 5 298 0.01
steind12 1000 5000 10 567 0.02
steind13 1000 5000 167 8205 0.20
steind14 1000 5000 250 11834 0.28
steind15 1000 5000 500 20876 0.51
steind16 1000 25000 5 1037 0.06
steind17 1000 25000 10 2654 0.07
steind18 1000 25000 167 41815 0.86
steind19 1000 25000 250 60356 1.21
steind20 1000 25000 500 103093 2.36
steine1 2500 3125 5 54 0.01
steine2 2500 3125 10 75 0.02
steine3 2500 3125 417 3606 0.59
steine4 2500 3125 625 5123 0.84
steine5 2500 3125 1250 9172 1.58
steine6 2500 5000 5 71 0.02
steine7 2500 5000 10 187 0.03
steine8 2500 5000 417 7374 0.71
steine9 2500 5000 625 11365 1.02
steine10 2500 5000 1250 18353 1.88
steine11 2500 12500 5 202 0.03
steine12 2500 12500 10 426 0.04
steine13 2500 12500 417 20909 1.19
steine14 2500 12500 625 29932 1.71
steine15 2500 12500 1250 51121 3.12
steine16 2500 62500 5 1119 0.13
steine17 2500 62500 10 2308 0.19
steine18 2500 62500 417 105431 5.77
steine19 2500 62500 625 151334 8.70
steine20 2500 62500 1250 258456 17.10
teste1 6 9 3 30 0.00
