inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 0.05
steinb2 50 63 13 91 0.02
steinb3 50 63 25 153 0.03
steinb4 50 100 9 144 0.01
steinb5 50 100 13 148 0.08
steinb6 50 100 25 337 0.03
steinb7 75 94 13 84 0.02
steinb8 75 94 19 124 0.03
steinb9 75 94 38 257 0.21
steinb10 75 150 13 195 0.02
steinb11 75 150 19 287 0.03
steinb12 75 150 38 516 0.26
steinb13 100 125 17 133 0.17
steinb14 100 125 25 181 0.04
steinb15 100 125 50 336 0.08
steinb16 100 200 17 301 0.04
steinb17 100 200 25 390 0.25
steinb18 100 200 50 710 0.09
steinc1 500 625 5 20 0.05
steinc2 500 625 10 113 0.09
steinc3 500 625 83 688 2.70
steinc4 500 625 125 976 0.76
steinc5 500 625 250 1816 1.39
steinc6 500 1000 5 83 0.28
steinc7 500 1000 10 170 0.10
steinc8 500 1000 83 1452 0.63
steinc9 500 1000 125 2181 0.93
steinc10 500 1000 250 3663 1.61
steinc11 500 2500 5 201 0.12
steinc12 500 2500 10 469 0.19
steinc13 500 2500 83 4265 1.02
steinc14 500 2500 125 6077 1.46
steinc15 500 2500 250 10045 12.59
steinc16 500 12500 5 1153 0.47
steinc17 500 12500 10 2287 0.71
steinc18 500 12500 83 20277 19.56
steinc19 500 12500 125 29077 5.49
steinc20 500 12500 250 51388 9.03
steind1 1000 1250 5 64 0.11
steind2 1000 1250 10 61 0.84
steind3 1000 1250 167 1395 2.03
steind4 1000 1250 250 1941 2.90
steind5 1000 1250 500 3596 5.28
steind6 1000 2000 5 36 0.11
steind7 1000 2000 10 166 0.19
steind8 1000 2000 167 3097 2.42
steind9 1000 2000 250 4301 17.32
steind10 1000 2000 500 7209 6.25
steind11 1000 5000 5 297 1.02
steind12 1000 5000 10 548 0.36
steind13 1000 5000 167 8175 3.97
steind14 1000 5000 250 11776 5.72
steind15 1000 5000 500 20813 12.41
steind16 1000 25000 5 1016 1.42
steind17 1000 25000 10 2581 1.95
steind18 1000 25000 167 41715 18.59
steind19 1000 25000 250 60333 27.13
steind20 1000 25000 500 103059 176.87
steine1 2500 3125 5 43 0.23
steine2 2500 3125 10 67 0.39
steine3 2500 3125 417 3581 12.93
steine4 2500 3125 625 5097 18.52
steine5 2500 3125 1250 9117 173.67
steine6 2500 5000 5 71 0.32
steine7 2500 5000 10 187 2.57
steine8 2500 5000 417 7316 15.23
steine9 2500 5000 625 11317 21.25
steine10 2500 5000 1250 18326 40.17
steine11 2500 12500 5 202 0.53
steine12 2500 12500 10 393 0.84
steine13 2500 12500 417 20857 25.98
steine14 2500 12500 625 29862 190.96
steine15 2500 12500 1250 51119 71.43
steine16 2500 62500 5 1090 2.95
steine17 2500 62500 10 2269 4.67
steine18 2500 62500 417 105308 585.66
steine19 2500 62500 625 151220 190.30
steine20 2500 62500 1250 258387 322.86
teste1 6 9 3 30 0.01
