inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 0.00
steinb2 50 63 13 102 0.00
steinb3 50 63 25 154 0.01
steinb4 50 100 9 144 0.00
steinb5 50 100 13 149 0.00
steinb6 50 100 25 341 0.01
steinb7 75 94 13 84 0.00
steinb8 75 94 19 125 0.00
steinb9 75 94 38 262 0.01
steinb10 75 150 13 187 0.00
steinb11 75 150 19 289 0.00
steinb12 75 150 38 516 0.01
steinb13 100 125 17 136 0.00
steinb14 100 125 25 181 0.01
steinb15 100 125 50 360 0.01
steinb16 100 200 17 310 0.00
steinb17 100 200 25 398 0.01
steinb18 100 200 50 709 0.01
steinc1 500 625 5 20 0.00
steinc2 500 625 10 113 0.01
steinc3 500 625 83 692 0.06
steinc4 500 625 125 976 0.09
steinc5 500 625 250 1839 0.35
steinc6 500 1000 5 83 0.01
steinc7 500 1000 10 171 0.01
steinc8 500 1000 83 1475 0.07
steinc9 500 1000 125 2187 0.11
steinc10 500 1000 250 3685 0.21
steinc11 500 2500 5 201 0.01
steinc12 500 2500 10 441 0.02
steinc13 500 2500 83 4302 0.11
steinc14 500 2500 125 6069 0.17
steinc15 500 2500 250 10065 0.30
steinc16 500 12500 5 1153 0.05
steinc17 500 12500 10 2287 0.07
steinc18 500 12500 83 20277 0.49
steinc19 500 12500 125 29077 0.64
steinc20 500 12500 250 51375 1.18
steind1 1000 1250 5 61 0.01
steind2 1000 1250 10 61 0.02
steind3 1000 1250 167 1399 0.23
steind4 1000 1250 250 1951 0.33
steind5 1000 1250 500 3641 0.62
steind6 1000 2000 5 36 0.01
steind7 1000 2000 10 166 0.02
steind8 1000 2000 167 3099 0.26
steind9 1000 2000 250 4327 0.47
steind10 1000 2000 500 7265 0.80
steind11 1000 5000 5 297 0.02
steind12 1000 5000 10 548 0.03
steind13 1000 5000 167 8135 0.47
steind14 1000 5000 250 11783 0.70
steind15 1000 5000 500 20858 1.44
steind16 1000 25000 5 1016 0.12
steind17 1000 25000 10 2581 0.17
steind18 1000 25000 167 41729 2.22
steind19 1000 25000 250 60352 2.77
steind20 1000 25000 500 103051 4.72
steine1 2500 3125 5 43 0.03
steine2 2500 3125 10 67 0.05
steine3 2500 3125 417 3580 1.54
steine4 2500 3125 625 5111 1.98
steine5 2500 3125 1250 9167 3.85
steine6 2500 5000 5 71 0.03
steine7 2500 5000 10 187 0.05
steine8 2500 5000 417 7315 1.62
steine9 2500 5000 625 11327 2.43
steine10 2500 5000 1250 18358 4.65
steine11 2500 12500 5 202 0.05
steine12 2500 12500 10 393 0.09
steine13 2500 12500 417 20832 2.76
steine14 2500 12500 625 29861 4.13
steine15 2500 12500 1250 51109 7.76
steine16 2500 62500 5 1090 0.25
steine17 2500 62500 10 2269 0.41
steine18 2500 62500 417 105308 13.58
steine19 2500 62500 625 151190 20.38
steine20 2500 62500 1250 258342 40.32
teste1 6 9 3 30 0.00
