inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 0.00
steinb2 50 63 13 103 0.00
steinb3 50 63 25 154 0.00
steinb4 50 100 9 144 0.00
steinb5 50 100 13 148 0.00
steinb6 50 100 25 340 0.00
steinb7 75 94 13 84 0.00
steinb8 75 94 19 125 0.00
steinb9 75 94 38 263 0.01
steinb10 75 150 13 187 0.00
steinb11 75 150 19 291 0.00
steinb12 75 150 38 522 0.01
steinb13 100 125 17 134 0.00
steinb14 100 125 25 179 0.01
steinb15 100 125 50 338 0.01
steinb16 100 200 17 301 0.00
steinb17 100 200 25 390 0.01
steinb18 100 200 50 704 0.01
steinc1 500 625 5 20 0.00
steinc2 500 625 10 113 0.02
steinc3 500 625 83 689 0.06
steinc4 500 625 125 966 0.09
steinc5 500 625 250 1797 0.16
steinc6 500 1000 5 83 0.01
steinc7 500 1000 10 170 0.01
steinc8 500 1000 83 1468 0.07
steinc9 500 1000 125 2188 0.10
steinc10 500 1000 250 3650 0.22
steinc11 500 2500 5 201 0.01
steinc12 500 2500 10 441 0.02
steinc13 500 2500 83 4265 0.11
steinc14 500 2500 125 6067 0.17
steinc15 500 2500 250 10045 0.33
steinc16 500 12500 5 1153 0.05
steinc17 500 12500 10 2287 0.08
steinc18 500 12500 83 20277 0.45
steinc19 500 12500 125 29077 0.65
steinc20 500 12500 250 51375 1.27
steind1 1000 1250 5 61 0.02
steind2 1000 1250 10 61 0.04
steind3 1000 1250 167 1386 0.23
steind4 1000 1250 250 1917 0.33
steind5 1000 1250 500 3615 0.63
steind6 1000 2000 5 36 0.01
steind7 1000 2000 10 166 0.02
steind8 1000 2000 167 3091 0.26
steind9 1000 2000 250 4304 0.39
steind10 1000 2000 500 7208 0.77
steind11 1000 5000 5 297 0.02
steind12 1000 5000 10 548 0.04
steind13 1000 5000 167 8135 0.44
steind14 1000 5000 250 11771 0.64
steind15 1000 5000 500 20811 1.24
steind16 1000 25000 5 1016 0.09
steind17 1000 25000 10 2581 0.15
steind18 1000 25000 167 41699 1.88
steind19 1000 25000 250 60333 2.23
steind20 1000 25000 500 103051 5.17
steine1 2500 3125 5 43 0.02
steine2 2500 3125 10 67 0.04
steine3 2500 3125 417 3575 1.26
steine4 2500 3125 625 5096 1.86
steine5 2500 3125 1250 9145 4.09
steine6 2500 5000 5 71 0.03
steine7 2500 5000 10 187 0.15
steine8 2500 5000 417 7313 1.51
steine9 2500 5000 625 11295 2.24
steine10 2500 5000 1250 18289 4.38
steine11 2500 12500 5 202 0.04
steine12 2500 12500 10 393 0.08
steine13 2500 12500 417 20835 2.51
steine14 2500 12500 625 29860 4.30
steine15 2500 12500 1250 51116 7.07
steine16 2500 62500 5 1090 0.19
steine17 2500 62500 10 2269 0.34
steine18 2500 62500 417 105308 11.38
steine19 2500 62500 625 151190 16.40
steine20 2500 62500 1250 258335 37.50
teste1 6 9 3 30 0.00
